# Total Phase Data Center(tm) v6.52
# (c) 2005-2012 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
0,,0,0:00.000.000,,,,,,Capture started (Aggregate),,[09/13/13 10:05:16],
0,SS,1,0:00.000.000,,,,,,<VBus Absent>,,,
0,SS,2,0:00.000.000,,,,,,LTSSM Transition,,SS.Disabled,
0,SS,3,0:00.000.000,,,,,,<SuperSpeed Target Disconnected>,,,
0,SS,4,0:00.000.000,,,,,,LTSSM Transition,,SS.Disabled,
0,SS,5,0:00.000.000,,,,,,<SuperSpeed Host Disconnected>,,,
0,SS,6,0:00.000.980,,,,,,<Manual Trigger or USB2 Trigger>,,,
0,,7,0:00.000.980,,,,,,<Host disconnected>,,,
0,,8,0:00.000.980,,,,,,<Manual Trigger or USB3 Trigger>,,,
0,SS,9,0:19.870.734,,,,,,<VBus Present>,,,
0,,10,0:19.870.735,,,,,,<Host connected>,,,
0,FS,11,0:19.875.734,,,,,,<Full-speed>,,,
0,FS,12,0:19.875.789,449.116 us,,,,,<Reset> / <Target disconnected>,,,
0,FS,13,0:19.876.239,3.000.000 ms,,,,,<Chirp K>,,,
0,FS,14,0:19.879.239,5.200 us,,,,,<Reset> / <Chirp J> / <Tiny J>,,,
0,FS,15,0:19.879.244,46.630.718 ms,,,,,[466 Chirp K-J pairs] ,,,
1,FS,16,0:19.879.244,50.000 us,,,,,   <Chirp K>,,,
1,FS,17,0:19.879.294,50.050 us,,,,,   <Chirp J>,,,
1,FS,18,0:19.879.344,50.016 us,,,,,   <Chirp K>,,,
1,FS,19,0:19.879.394,50.050 us,,,,,   <Chirp J>,,,
1,FS,20,0:19.879.444,50.016 us,,,,,   <Chirp K>,,,
1,FS,21,0:19.879.494,50.032 us,,,,,   <Chirp J>,,,
1,FS,22,0:19.879.544,50.032 us,,,,,   <Chirp K>,,,
1,FS,23,0:19.879.594,50.032 us,,,,,   <Chirp J>,,,
1,FS,24,0:19.879.644,46.230.484 ms,,,,,   [462 Chirp K-J pairs] ,,,
2,FS,25,0:19.879.644,50.032 us,,,,,      <Chirp K>,,,
2,FS,26,0:19.879.694,50.032 us,,,,,      <Chirp J>,,,
2,FS,27,0:19.879.744,50.032 us,,,,,      <Chirp K>,,,
2,FS,28,0:19.879.794,50.032 us,,,,,      <Chirp J>,,,
2,FS,29,0:19.879.844,50.032 us,,,,,      <Chirp K>,,,
2,FS,30,0:19.879.894,50.032 us,,,,,      <Chirp J>,,,
2,FS,31,0:19.879.944,50.032 us,,,,,      <Chirp K>,,,
